,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.007923829983446217,0.009423550992119509,0.0002257046147238217,0.005628564267386034,-1,0.0036059202874195897,0.0009810058583093375,0.0003186502914222124,1.5591858784449993e-05
time,62.173488448839635,0.6758597509469837,856.4712873839308,5394.420869732043,-1,3600.089570967015,3608.680405701045,3600.8859462861437,3605.8652639698703
Nsols,75,75,139,29,0,75,75,75,75
