,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom,SMShv
HV,0.0017397601909721458,0.0015582210168012187,0.0001253804349806239,0.0005759555539393159,-1,0.0014154913553346762,9.083329026614413e-12,1.552458187681068e-08,1.2590438670223918e-11,1.5379708988194116e-13
time,173.41090228082612,2.0989558319561183,258.4041862390004,7085.481416794937,-1,3600.20459521492,3852.737333365949,3602.840614269953,3956.8650260181166,3687.3401647259016
Nsols,125,125,322,32,0,125,125,125,125,125
