,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
ks_M5_N100_C0.02_RANDU_flat_uniform,50,50,75,50,50,50,50,50,50
ks_M5_N100_C0.04_RANDU_flat_uniform,50,50,70,50,50,50,50,50,50
ks_M10_N100_C0.02_RANDU_flat_uniform,100,100,314,43,16,100,100,100,100
ks_M10_N100_C0.04_RANDU_flat_uniform,100,100,321,43,16,100,100,100,100
ks_M15_N100_C0.02_RANDU_flat_uniform,150,150,391,28,0,150,150,150,150
ks_M15_N100_C0.04_RANDU_flat_uniform,150,150,415,28,0,150,150,150,150
ks_M20_N100_C0.02_RANDU_flat_uniform,200,200,401,29,0,200,200,200,200
ks_M20_N100_C0.04_RANDU_flat_uniform,200,200,262,29,0,200,200,200,200
