,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.0309971365282741,0.025611600269218236,0.006872176505901556,0.016664531319124088,-1,0.017657014657806256,0.014707500799121594,0.0010493360113706458,1.4050300258095615e-06
time,230.47030523396097,1.7864716439507902,97.33683957206085,4080.8246913452167,-1,3600.27152459207,3614.1179139600135,3602.459469398018,3600.0760872268584
Nsols,150,150,391,28,0,150,150,150,150
