,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.028256387914563807,0.02652639374396069,0.009731148154699686,0.015309928582178518,-1,0.0011634232760041328,1.6272159301426815e-08,0.00030462392117110127,4.260333277799201e-08
time,349.83967334218323,2.9623638310004026,180.50739475898445,6028.385469531873,-1,3600.351410752861,3663.339042617008,3604.967157596955,3600.2160723421257
Nsols,200,200,401,29,0,200,200,200,200
