,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.012364034944075668,0.017928749932496307,0.000350415178606019,0.00954503964368918,-1,0.009834671252922741,0.012232395537957531,0.0028431747565323476,0.009472482459419673
time,114.51386042009108,0.9573152191005647,1068.620360285975,3871.989831927931,-1,3600.1237722982187,3615.94733163598,3600.432863191003,3627.8382122621406
Nsols,75,75,320,28,0,75,75,75,75
