,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.15743774491565007,0.14189887812630814,0.06507021318739654,0.11230699373606515,0.10301822295723062,0.13439686157752845,0.019770514999776494,0.0180677557059001,0.0012510696982223684
time,111.55313472100534,0.9129034869838506,44.717767431167886,3616.8883938600775,4267.327678825939,3600.126531633083,3601.3157831290737,3601.0150082239415,3600.033771807095
Nsols,100,100,314,43,16,100,100,100,100
