,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.0011032646316024074,0.0010976046804287722,1.4304124513293148e-06,0.0003383498468757387,-1,0.0009255686675121351,-1,5.55223151194321e-05,-1
time,157.327190060867,1.6162642808631063,277.9807535880245,7468.456116350833,-1,3600.1693449970335,3782.5838559612166,3601.61252449709,3882.9666124919895
Nsols,125,125,318,32,0,125,125,125,125
