,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.0141670704255583,0.012942894842652986,0.0031529199588336398,0.004717549060211104,-1,0.01082351035077897,1.5383115598830932e-15,1.939453242841186e-06,-1
time,355.6590331790503,2.52161304699257,120.29396682116203,5968.741126640001,-1,3600.311405957211,3635.276762478985,3604.738428286044,3603.7939416600857
Nsols,200,200,262,29,0,200,200,200,200
