,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.7861421593997108,0.7401211957026606,0.3628837312970417,0.6305649790763843,-1,0.5173125937015233,0.6102496088157973,0.5004728966678569,0.5262329571012856
time,249.01954938199992,9.899080594999987,3608.7891045529977,4978.387999949999,-1,3601.8158896650057,4096.980999693013,3605.964103050006,3821.4717805109976
Nsols,135,135,166,34,0,135,135,135,135
