,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
emotions,0.7546080429859348,0.7252869377891985,0.5662204334965725,0.6618628446284283,0.7430186125780137,0.6054103948773493,0.5003074604461598,0.5770114218672203,0.462394073832693
flags,0.8232111496907771,0.7872812153977218,0.776199737120802,0.7147479688289174,0.7969879181123953,0.760728621954996,0.5801016892953074,0.7341334675588644,0.5502785146793518
yeast,0.5698228946733349,0.5422640090167409,0.5146642430851146,0.44711631561342446,-1,0.3749073277958478,0.38860020385639965,0.366016515165003,0.10516558008883473
birds,0.9773060523915248,0.9674064903319217,0.8520744355183407,0.9583847660583076,-1,0.8414687079128431,0.9408007974262578,0.9223379514488967,0.8291630392677243
genbase,0.8114616932966341,0.754904597288266,0.35971363720792643,0.6305571339667408,-1,0.670248100387115,0.13912468699856478,0.5797772367143487,0.5683910190839592
