,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.980164301733571,0.9658914932600625,0.8539697484098117,0.9584928131589273,-1,0.8414881682030939,0.9469575868963415,0.9030488363271717,0.9037477874790624
time,174.08866311099996,4.877272963999985,3641.474849219998,4438.219784781999,-1,3602.8170041150006,3670.9200987500008,3602.690017009998,3600.6988611319975
Nsols,95,95,46,29,0,95,95,95,95
