,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.0227614712726821,0.021928538985963534,0.0013396315314147744,0.009103328757387244,-1,0.00709721468015345,0.007005966308112104,0.00048299761383852665,2.3918041705611694e-10
time,233.72806770703755,1.485180902061984,111.60714261303656,3818.8102955492213,-1,3600.2284238499124,3608.826926084934,3602.140053408919,3617.903805819107
Nsols,150,150,415,28,0,150,150,150,150
