,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.045097941426605816,0.05291957379879816,0.03197396339991288,0.044842365856768075,-1,0.013312158334896629,0.031687405704302375,0.023684874699918423,0.00243258942681463
time,51.82621404499997,0.37873310600002696,39.498999665000156,3714.5591813150004,-1,3600.062349373002,3602.415780618001,3600.2895895559996,3600.29464231999
Nsols,50,50,139,43,0,50,50,50,50
