,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
emotions,67.96571294800378,7.276421756949276,78.13874173909426,31.614082822808996,3886.5618368820287,3600.488952395972,3602.540163272992,3601.507874388015,3600.4402711959556
flags,87.68461216404103,0.6842184499837458,14.741389824077487,148.92283298796974,3643.1153030849528,3600.773315337021,3600.5255056179594,3600.875895102974,3600.206095588859
yeast,264.15278773591854,26.762452739058062,1073.4849409011658,3765.0997650399804,-1,3605.559214522131,3639.7928652341943,3610.9808413018472,3602.975022356026
birds,355.17098785704,44.22166315186769,3612.197594251018,5075.683920501033,-1,3607.169305423042,3808.8993738559075,3610.0355793910567,3622.0461170449853
genbase,866.7362495111302,146.25566013902426,3714.157841848908,5277.771850295132,-1,3621.1175762671046,3832.348490264965,3627.185666059144,3733.3329032228794
