,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.0003324641945331871,0.0004893527214496415,3.0478766871193502e-06,0.00012161767167624504,-1,0.00025936430487400944,5.2687609796233205e-12,1.5138728287788662e-05,-1
time,223.06729929801077,1.5957839770708233,1090.7841874540318,6860.006937067024,-1,3600.20440031006,3963.6879898561165,3603.1213165558875,3716.3566341500264
Nsols,125,125,506,32,0,125,125,125,125
