,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.5564210077022478,0.5264029448253131,0.5087071072214527,0.4530857443102394,-1,0.3833536348398765,0.32187149238332957,0.13628915300179584,0.10102779299232396
time,112.64686721200002,5.58160621899998,343.8744102660021,4461.421665999002,-1,3601.2148223059994,3612.8141749720016,3602.8477894269963,3603.24730133501
Nsols,70,70,103,35,0,70,70,70,70
