,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
ks_M5_N100_C0.02_RANDU_flat_uniform,0.5341223879476622,0.4586172403842112,0.38212675627678555,0.4396742090819233,0.5303596319969504,0.420982078486098,0.3873042036083643,0.4092082087285331,0.012411591951756947
ks_M5_N100_C0.04_RANDU_flat_uniform,0.47114953787304636,0.447858819801293,0.4019837776420875,0.4221094243038362,0.47907830410729735,0.41551883367173453,0.3736384686345816,0.05710715200573171,0.05679599588937553
ks_M10_N100_C0.02_RANDU_flat_uniform,0.15743774491565007,0.14189887812630814,0.06507021318739654,0.11230699373606515,0.10301822295723062,0.13439686157752845,0.019770514999776494,0.0180677557059001,0.0012510696982223684
ks_M10_N100_C0.04_RANDU_flat_uniform,0.11026113560656914,0.099365060784526,0.04845398744784846,0.08280172280147333,0.059872370853209914,0.075438553963177,0.00710749347151869,0.002040884993518006,0.002322645700780529
ks_M15_N100_C0.02_RANDU_flat_uniform,0.0309971365282741,0.025611600269218236,0.006872176505901556,0.016664531319124088,-1,0.017657014657806256,0.014707500799121594,0.0010493360113706458,1.4050300258095615e-06
ks_M15_N100_C0.04_RANDU_flat_uniform,0.0227614712726821,0.021928538985963534,0.0013396315314147744,0.009103328757387244,-1,0.00709721468015345,0.007005966308112104,0.00048299761383852665,2.3918041705611694e-10
ks_M20_N100_C0.02_RANDU_flat_uniform,0.028256387914563807,0.02652639374396069,0.009731148154699686,0.015309928582178518,-1,0.0011634232760041328,1.6272159301426815e-08,0.00030462392117110127,4.260333277799201e-08
ks_M20_N100_C0.04_RANDU_flat_uniform,0.0141670704255583,0.012942894842652986,0.0031529199588336398,0.004717549060211104,-1,0.01082351035077897,1.5383115598830932e-15,1.939453242841186e-06,-1
