,monise,random,nc,pgen,rennen,NSGAII,NSGAIII,SPEA2,SMSdom
ks_M5_N100_C0.02_RANDU_flat_uniform,20.840832334011793,0.3029814939945936,6.447444799123332,9.646169184008613,81.41153367096558,3600.051337243989,3600.0690664269496,3600.1563575370237,3600.0089399099816
ks_M5_N100_C0.04_RANDU_flat_uniform,20.27616504416801,0.283912856830284,5.339687319006771,2.508253148989752,190.49162630806677,3600.058556335047,3600.0750230099075,3600.1266336049885,3600.0104657621123
ks_M10_N100_C0.02_RANDU_flat_uniform,111.55313472100534,0.9129034869838506,44.717767431167886,3616.8883938600775,4267.327678825939,3600.126531633083,3601.3157831290737,3601.0150082239415,3600.033771807095
ks_M10_N100_C0.04_RANDU_flat_uniform,114.51409261696972,0.8616604718845338,49.65559661621228,3750.1668763970956,3890.2513872659765,3600.1293777718674,3601.0377066479996,3600.6309892898425,3600.123819045024
ks_M15_N100_C0.02_RANDU_flat_uniform,230.47030523396097,1.7864716439507902,97.33683957206085,4080.8246913452167,-1,3600.27152459207,3614.1179139600135,3602.459469398018,3600.0760872268584
ks_M15_N100_C0.04_RANDU_flat_uniform,233.72806770703755,1.485180902061984,111.60714261303656,3818.8102955492213,-1,3600.2284238499124,3608.826926084934,3602.140053408919,3617.903805819107
ks_M20_N100_C0.02_RANDU_flat_uniform,349.83967334218323,2.9623638310004026,180.50739475898445,6028.385469531873,-1,3600.351410752861,3663.339042617008,3604.967157596955,3600.2160723421257
ks_M20_N100_C0.04_RANDU_flat_uniform,355.6590331790503,2.52161304699257,120.29396682116203,5968.741126640001,-1,3600.311405957211,3635.276762478985,3604.738428286044,3603.7939416600857
