,monise,random,nc,pgen,norennen,NSGAII,NSGAIII,SPEA2,SMSdom
HV,0.005273606260487805,0.0046083898327677845,0.0014064993459797022,0.00200773950901817,-1,0.0043894404384855375,2.4203881483185634e-13,5.8559278582569984e-06,9.490312125749038e-13
time,507.18808506801724,5.003109349869192,438.30301297386177,7518.4437643359415,-1,3600.8104058369063,3770.8622112858575,3607.2769837528467,3600.299224548973
Nsols,250,250,556,32,0,250,250,250,250
